source,target,weight
29CLHXPLQSLMPLE1B6,86YUIMHTYGQLXBA2D1,0.958
86IEFKQUWEWCLNG1U2,02HCZJTQZPOVDUW7W6,0.943
86IEFKQUWEWCLNG1U2,73MNMMMPVOASXGJ9V0,0.943
86IEFKQUWEWCLNG1U2,18CWYRSBCDPBRRI4Z0,0.943
96RLUIAPADHJITZ5V6,73XEQNWHBXKCPHG8U0,0.92
96RLUIAPADHJITZ5V6,89PZAXRJWXLFVLH6C1,0.92
96RLUIAPADHJITZ5V6,59YSXJWWTPZUYNT5A0,0.92
53EIUDWOVAUKSTF1Q6,34MUMODQKMVDCNC7Q3,0.888
53EIUDWOVAUKSTF1Q6,23GEMBBURCFKTKS7B1,0.888
77FMVXJMIIWLXSX3A2,01GKLEEXZTTTKOT1F2,0.899
77FMVXJMIIWLXSX3A2,96TSSQVSKJRLNFP9T0,0.899
77FMVXJMIIWLXSX3A2,82JHWBQUKKGWUPV2D4,0.899
94RSAVXIJKWSPOR9V0,69JAHTDCPQEBFNK5I9,0.974
94RSAVXIJKWSPOR9V0,79QLFPMIACDUGOU0N9,0.974
94RSAVXIJKWSPOR9V0,99ZUABABGAVSDRA3M5,0.974
97HKUYMPQIXEIWG4G6,87YRJDTIKXBTONW9L0,0.906
35IUHNOUJVWMQQL1F7,37GNVDKNBOIJIGW3U8,0.849
03ESIMJIAHNIXZT7G9,82FWFGYHSUZCQKC0D3,0.94
86DGZUKTYXTKADV0V5,56WIZSOJHEVAECW2D5,0.917
54BDWYQOFLFAKHH6K6,61LYBNUNXBICQAE0F7,0.903
54BDWYQOFLFAKHH6K6,07JJJOXHFILYVFI6L8,0.903
55SMNJGXAYBIYOF2S5,37QKGUMLPHTTJOP6L6,0.922
55SMNJGXAYBIYOF2S5,89WISJKQPRCFFLJ6H5,0.922
81ZSOHPEDHKPHLS9E9,07OHSWGUUGDYLIF5F4,0.934
81ZSOHPEDHKPHLS9E9,32DEZNETVUZJLOZ6K7,0.934
80AWRFJEDGNENQL4M7,98YOVCSPOTMLCXX5S9,0.904
80AWRFJEDGNENQL4M7,63TYYVMJRGYJZAQ0F2,0.904
74AYZYXFKWOWXRP5M9,26LMHNKOUXLZJZE1T6,0.915
06GTNWQKLGBZSYZ7P4,93BUXLNTNDRNRQX9L6,0.872
06GTNWQKLGBZSYZ7P4,19AWDLIHHNJSEXJ2A1,0.872
35YPZDHBUGLRECO3I1,86IEFKQUWEWCLNG1U2,0.93
35YPZDHBUGLRECO3I1,44YSOTDUJIXOAOH2Q1,0.93
35YPZDHBUGLRECO3I1,02YNKARBVGGYUFA6J2,0.93
46QHZEXOOCVUFAI6D7,37LBRWFDSCUHECI5F3,0.896
46QHZEXOOCVUFAI6D7,43BOBUGERCXKURP3W7,0.896
46QHZEXOOCVUFAI6D7,06OTDUGOJHNSXCZ0B8,0.896
59OPBNBIPNFMLAU8H7,47SQFIOGXGGLPQY0O3,0.91
59OPBNBIPNFMLAU8H7,92QBEDWVKWEUSSP7U0,0.91
59OPBNBIPNFMLAU8H7,97OWUIAUFTSXIMB3Q3,0.91
57VFDPEFHAJRHTX6Q5,98CQGIGGWLAFEVD9T2,0.931
57VFDPEFHAJRHTX6Q5,21GKLYOOOAFCEBF0L0,0.931
57VFDPEFHAJRHTX6Q5,17UTMMIGOXWHVOH9O4,0.931
70HPWSWKJXOTFFE4M6,95CODNUVTFZMCQL7H7,0.973
70HPWSWKJXOTFFE4M6,59PBINAONRAUJGA2L3,0.973
75XNUUJNAXHFWBO1Q0,82UXQWBXYTCYJQC2E0,0.957
75XNUUJNAXHFWBO1Q0,75JJVAFYCABUFLP1B6,0.957
75XNUUJNAXHFWBO1Q0,65YCEIZBEZFDISN4R6,0.957
13NPXMVITOBFDOU3P2,47MUQEXZUGNBZDM8J8,0.914
13NPXMVITOBFDOU3P2,82SCHPFHPUODVHZ2N5,0.914
13NPXMVITOBFDOU3P2,54BDWYQOFLFAKHH6K6,0.914
02XMSVSOMTYPRVU9G2,97VNGNFWIYWMNVP2R8,0.915
02XMSVSOMTYPRVU9G2,11VLYEAGIMLOFQT2L1,0.915
02XMSVSOMTYPRVU9G2,36TINTNGGIMYIPE8Z3,0.915
67CBTQVNTMQQLTE1T9,14PYSJKETUUAMYL2N1,0.926
67CBTQVNTMQQLTE1T9,01IELNZBBOANCHG3Q0,0.926
67CBTQVNTMQQLTE1T9,70MKLCYMMDGBTQL0B0,0.926
36FORLVTSYKEQYV8X4,50KJXLJFTTGYNVU8Z3,0.914
66EPGBXVARSBKRK8Z5,46OGPEDTBRTOSGH4C8,0.924
66EPGBXVARSBKRK8Z5,55YHACBAHMQKTRZ0R6,0.924
66EPGBXVARSBKRK8Z5,96ACPPXRHSNDSQQ6I5,0.924
06HZUXICVIJRUUL9F9,19CADMCIXQYBWXL6B8,0.911
60MAHOBWHIPUFSR4M7,87SBBDPAQGMJDXP7X8,0.939
79INSLWSEKNSFEX8W1,55RPJPGJIHSXSXQ5G7,0.896
32GWEOTOPMAGBUL3D5,70LMCQNUFWSWFIC2A7,0.913
15TDBSZZVPWPNPR3G4,00JTHAWWGEJYGRR9K9,0.941
15TDBSZZVPWPNPR3G4,17RFNPSONZZFCXF9N0,0.941
54CKZJHSIDLSIII0Q6,42OITVXSEXGHLAH2P6,0.97
32LPGRXNRPCTYSD9C6,00WHYFMJXYKBYMA0O7,0.903
32LPGRXNRPCTYSD9C6,42BBFUNPRYOWCOA3D1,0.903
51CUNCBWWPJWHOV0J4,02VIEQUBQQKPMDJ2T2,0.934
51CUNCBWWPJWHOV0J4,40ARYKBRIXNGGZR5Q4,0.934
52KBNEFREUWKZFS3J9,82GPBSMRTHIGGQC2F5,0.902
52KBNEFREUWKZFS3J9,52NPRVGBHENATXL3J3,0.902
80FHIJGSGWDIRCX8L2,54HZBESTQSDYHQF3B9,0.9
98XGURPIXVWSPIL1Y8,12SRMNGFREDDQCD2P2,0.942
98XGURPIXVWSPIL1Y8,99RWNOKQBMWUYCI6Y7,0.942
47VEULGWVHUIOKV3W0,42OITVXSEXGHLAH2P6,0.943
47VEULGWVHUIOKV3W0,96IXKTKCHMCZAAH8B1,0.943
34UHBCOITHRKXEF6Q9,23MXDNWWOIBTHPD4Z1,0.92
34UHBCOITHRKXEF6Q9,62GJXQMIMDGAPJO3Y1,0.92
17AGGFRHXYYANBM5X0,23AGSXGDEBRBRSF1I9,0.9
17AGGFRHXYYANBM5X0,26HKCMPBNLMEYOS8Q2,0.9
17AGGFRHXYYANBM5X0,84FGCDFQWQDUPNW0G5,0.9
15GJMSWLBYXZCKI6J4,54QYNEGHWWQUOGP1Q3,0.914
15GJMSWLBYXZCKI6J4,35CEDKAHAAYZLGL7C3,0.914
15GJMSWLBYXZCKI6J4,96RLUIAPADHJITZ5V6,0.914
64ZYYILQLLGCNZF4I8,13UJVGEMFRCJJTF7R4,0.953
64ZYYILQLLGCNZF4I8,67LXIQLEZUTLSJE0G8,0.953
64ZYYILQLLGCNZF4I8,86YUIMHTYGQLXBA2D1,0.953
40YZJJBQYYVYMBM8E0,58FSLUKLNYUFXGA7V9,0.939
40YZJJBQYYVYMBM8E0,31VXOPAHQVUYAQI4V4,0.939
40YZJJBQYYVYMBM8E0,40MPRGDZSPLVNDL5P8,0.939
73FENXPBJCJBNWW4X4,41ACXBYWPEGRRCB5B3,0.9
10KAAZTCUDLJZQX4B1,12DVSCTPOJORQWT8Y6,0.943
94PSGXCUNZHOPJC6G7,88QLNQUUFWODEQB3A9,0.94
94PSGXCUNZHOPJC6G7,44JCVMVRABDUQQP6W9,0.94
94PSGXCUNZHOPJC6G7,90LGXJKXZKBLERQ7M0,0.94
46YPLWCPZUWDWZU6E7,47MUQEXZUGNBZDM8J8,0.919
46YPLWCPZUWDWZU6E7,76YFVBKCGFLNSNP5T4,0.919
73DBWNDKORKUVFF9P8,20IOBLKHBRPDUCY1M1,0.919
19JBSFZPCZUUCNJ8M5,54LVKOSTIKNMVXE4X8,0.939
19JBSFZPCZUUCNJ8M5,15BOSAKVCLEDPXJ8U5,0.939
99XUZBXCUOQIHKW4H0,95RKIMQQVHAEAES4H1,0.901
99XUZBXCUOQIHKW4H0,07NMNUPPNLZOFKH1A1,0.901
95RKIMQQVHAEAES4H1,01QJANKEBHCKZPI9L2,0.956
95RKIMQQVHAEAES4H1,66XZBKPZKVNKCET3O6,0.956
95RKIMQQVHAEAES4H1,15BFOJWZRTSVZWD7W8,0.956
39YFLDJMRINPFXW7L8,82YVXQVLLBZJMMX6J6,0.942
39YFLDJMRINPFXW7L8,07GYSJAQCIHDWZE5Z9,0.942
39YFLDJMRINPFXW7L8,50HMUMRACGGMAYJ8X7,0.942
69EFABFROEALYOH8Y0,61JRILNOOGLSPTK3K9,0.939
69EFABFROEALYOH8Y0,16BFZLLTHPUDTPJ1Z6,0.939
68VUSXRSMSRQKVQ3W9,92HBSWPJGJAKVCC0M6,0.884
68VUSXRSMSRQKVQ3W9,55SMNJGXAYBIYOF2S5,0.884
68VUSXRSMSRQKVQ3W9,71WCMIRGDRQQAPB5N3,0.884
67FAMCMLTKXRDTS5Y0,48OUORINYRJGNAF6R2,0.933
92PVQCGFKRTJLWT3M7,74OZLLCIOPHVXHI4B9,0.889
49KMJWELUYJMJVL2G3,65CIUNSNXVZMRGR7A0,0.897
49KMJWELUYJMJVL2G3,82SCHPFHPUODVHZ2N5,0.897
74EVWDHNTBGBNPV1O4,31UJAPNQSPYISIH2G1,0.866
74EVWDHNTBGBNPV1O4,44SWBOIGAHCETPN6Y8,0.866
74EVWDHNTBGBNPV1O4,34MFACUISSZXYBS1P7,0.866
33DXWBFZPRVZZGP1P7,86YUIMHTYGQLXBA2D1,0.87
33DXWBFZPRVZZGP1P7,34YVFWUQZBDQTQY5P2,0.87
82JPGFJUBKRDKGH7W6,49YSQOOKFRJRIEI1W8,0.911
66VRFYKRYPEDBFF6R6,39FRKBPWUKYBHSL9O5,0.91
01GKLEEXZTTTKOT1F2,59AEMKTUGUIUCUS0A1,0.951
29GEFFQJNHOLUOW2Q0,68CMXGPGMMNXSSB3N5,0.963
29GEFFQJNHOLUOW2Q0,66VUJUQCABLWVRZ0Q5,0.963
29GEFFQJNHOLUOW2Q0,40EHEASADAPORLZ9Z8,0.963
26QTQAATTOGBJEG0H4,64DAFLAJRFQFOND4B7,0.908
48JCEQCNFGNGLWY9P1,46YPLWCPZUWDWZU6E7,0.951
48JCEQCNFGNGLWY9P1,34MUMODQKMVDCNC7Q3,0.951
48JCEQCNFGNGLWY9P1,55TYOKTUXLZRYQL1X5,0.951
60YJSDGKQEBQJSM8V5,99DRJRVBGCXQUYI3T4,0.921
60YJSDGKQEBQJSM8V5,73XEQNWHBXKCPHG8U0,0.921
93JJMJIZEMSYWOT8X5,42CVUZJEAGWOISI8N7,0.974
93JJMJIZEMSYWOT8X5,13PUNNWUHTLSRNP8O5,0.974
81FLPEBCKEZZSHF4B3,97GLOYUUGYZOLWH8F9,0.923
81FLPEBCKEZZSHF4B3,75XNUUJNAXHFWBO1Q0,0.923
81FLPEBCKEZZSHF4B3,20GKQIHVFMZIKAX0T8,0.923
73XEQNWHBXKCPHG8U0,96BGJPVWITGPOUP0V1,0.924
73XEQNWHBXKCPHG8U0,93ODTJFNUUPSCDA8C6,0.924
06XFYRQBZJZBXUF4R2,30MHPHXELWQFJVQ6U3,0.907
06XFYRQBZJZBXUF4R2,28NUHCXQQCBRKOX0Q6,0.907
06XFYRQBZJZBXUF4R2,55PHNSIZIQWHOVG4S1,0.907
93ODTJFNUUPSCDA8C6,97OWUIAUFTSXIMB3Q3,0.915
93ODTJFNUUPSCDA8C6,66YSIAPRVCFCLQR7U3,0.915
46OGPEDTBRTOSGH4C8,17UWPJDRHNGOSBM9N7,0.927
46OGPEDTBRTOSGH4C8,14ZJPUMXVAFALFO7J7,0.927
46OGPEDTBRTOSGH4C8,69CZQBRUDXKUJBG6W3,0.927
97OWVYKJWAIQSEE5C7,91HKKNOLBMGKAJI5N4,0.918
97OWVYKJWAIQSEE5C7,31UJAPNQSPYISIH2G1,0.918
97OWVYKJWAIQSEE5C7,97IRHBWZPLPLBIE9W3,0.918
28LRRAAQULLKNJQ8B5,50TFTUFUPANMAZR4E3,0.981
28LRRAAQULLKNJQ8B5,60CZQNQCRFZZKCX2V2,0.981
11AEVTIDHOTPOBB4G2,79NHNQDODWMMEYO6P9,0.908
52FCRNUTWCVOSBD9N1,93DLDPYHSJABHVC5J2,0.882
41APPDMRHTTKRRU6U5,14FTIXDVBBCUYQU2I3,0.894
41APPDMRHTTKRRU6U5,06IPFWPSAURYGMU9I6,0.894
35OHQYQYVFZEIXA2X3,75HKHHXIXBSPOGS0G2,0.866
83LQEIWHUUQEFIZ7Q8,75TITPWDXCHFJCJ7I4,0.92
64UQVGNZXIIFHFS5G1,71ZVWTXEIYTWLXI1P5,0.983
64UQVGNZXIIFHFS5G1,61XZSAXYFOGJOXC0M3,0.983
88PTWETSUSZVGPL1A3,55SQQKUPWNGOATN3V0,0.982
58XEDONOZPMHJAC3M6,46HTHYSMQBHGJJM5H3,0.961
77JHXVSJIWGBYAC6V5,07OHSWGUUGDYLIF5F4,0.932
77JHXVSJIWGBYAC6V5,66PPYEPNGBGSRWH6O9,0.932
14ZJPUMXVAFALFO7J7,25WDHGGZYTRWBYF4T6,0.923
14ZJPUMXVAFALFO7J7,59ZGKNTFRWJUAKM5F2,0.923
16MEQQYDEDFTKEG9N4,62XCBTHZYXVPEKB5Z2,0.927
82TWHAILITIIVMY9N2,04RCTBMQDOXADHG3Z6,0.91
82TWHAILITIIVMY9N2,95OXUEQZGXCRKZJ8M0,0.91
82TWHAILITIIVMY9N2,32FKCSTLRFSTXUO2A3,0.91
21KRSPOZGLUGLPV4C7,75HNDGXQWVXUGYD0J9,0.897
21KRSPOZGLUGLPV4C7,84UINTRCQANABBB8V5,0.897
70LSPRQGXSIMSGV2X1,63RFXAKXGVCCQLZ7Y8,0.894
70LSPRQGXSIMSGV2X1,75HNDGXQWVXUGYD0J9,0.894
70LSPRQGXSIMSGV2X1,62XCBTHZYXVPEKB5Z2,0.894
23AGSXGDEBRBRSF1I9,95AFHETIIDDLRLP8W7,0.921
23AGSXGDEBRBRSF1I9,32DEZNETVUZJLOZ6K7,0.921
24AHBYOTWILTARO9Y8,98XGURPIXVWSPIL1Y8,0.902
24AHBYOTWILTARO9Y8,78INAYPFSAGEZXK2E0,0.902
24AHBYOTWILTARO9Y8,20BWTUCTIVQSSXB0P3,0.902
69UECUZFKHKGKFP0U3,05YVMSQGXEFTHSI4K2,0.895
69UECUZFKHKGKFP0U3,42EEKMKVAWFNFGK0H5,0.895
69UECUZFKHKGKFP0U3,30MHPHXELWQFJVQ6U3,0.895
52OKMCLJSENVKBV8J8,00JTHAWWGEJYGRR9K9,0.895
38BERHVRRASDMYV1C3,00ZKEJJMSLUNLUU9J9,0.905
38BERHVRRASDMYV1C3,55INKVWQXMRNVKH7J0,0.905
38BERHVRRASDMYV1C3,04NSACMUIUAIRYO3D4,0.905
47GMEGWAMWCLTUJ8Q9,87OZNVJUQEKHTBE2S7,0.937
29MPLXQRSJFFSNR0O9,39RFKFNNUJWNUDW3S3,0.911
29MPLXQRSJFFSNR0O9,33BWHFSXDRULHZW7E5,0.911
29MPLXQRSJFFSNR0O9,69TVOWWVEMJTABS0V1,0.911
84EJPOAJSXSEAQZ3G3,08FPTXCWHHQFJDA3T4,0.933
42HRRFLAFANOBPM5D0,90LGXJKXZKBLERQ7M0,0.892
42HRRFLAFANOBPM5D0,05BPYHHVEDCKXTN6K2,0.892
78JZHWZBWZCNHEH5Q5,61QXLGVSHYUDGYC1G6,0.944
05CJLRXXVKZCDCS2N6,17ANUJOHUKIGGQE8K6,0.886
55NCBSQEEQDYAIG5T5,89HLHRXTUVFUTRZ9J1,0.898
55NCBSQEEQDYAIG5T5,44JDMBRSBIXKTBX2A8,0.898
55NCBSQEEQDYAIG5T5,74OWUXTKUVBPOVU1V9,0.898
06OTDUGOJHNSXCZ0B8,24JSDADCWNYRBYB9D4,0.963
06OTDUGOJHNSXCZ0B8,44GQXHFMMKZBKIB8S9,0.963
04UFDFSIZQEOHLD8Y4,63WYFMWPHAPMHZE2A9,0.924
04UFDFSIZQEOHLD8Y4,34FZIQFWAPGQTZQ1N2,0.924
04UFDFSIZQEOHLD8Y4,66YSIAPRVCFCLQR7U3,0.924
79ULDBLTWEKOREJ8N8,95VHBFSAVOCJOBP4G4,0.902
79ULDBLTWEKOREJ8N8,06FWSIWRVRWMPBX2L0,0.902
22VIKLENXOLMKVS8W5,78ROLMUWNSAEABT5G2,0.928
99FKKXOYPQXQLHT2L7,75TITPWDXCHFJCJ7I4,0.925
15FBFJTSGVKQQQI7P3,92QBEDWVKWEUSSP7U0,0.916
15FBFJTSGVKQQQI7P3,20DRRHKIAWRECVX9Y0,0.916
34MFACUISSZXYBS1P7,35WTAMOZHHTLSQS2B2,0.919
34MFACUISSZXYBS1P7,49YSQOOKFRJRIEI1W8,0.919
34MFACUISSZXYBS1P7,65CEZHBOGJXOJLS8R3,0.919
44YSOTDUJIXOAOH2Q1,43TFQHPGTHXCRHG9F2,0.91
24UXUQRNDKGCTHQ6A7,73LTQENLOUGCGLD0I6,0.881
24UXUQRNDKGCTHQ6A7,15GJMSWLBYXZCKI6J4,0.881
12ZMDIXSZMSAZFM1A7,88GGDETEGRCBKLO5T6,0.904
82QPCLVGTLMUDZF1F5,94YAPVQWGZVPOLJ6B9,0.941
82QPCLVGTLMUDZF1F5,88QLNQUUFWODEQB3A9,0.941
20NKUUJKBDGNTZP8Y7,73AUVPCPDJWXLBV1C5,0.943
60FCKXVTLERBCBQ3Y1,34MUMODQKMVDCNC7Q3,0.896
60FCKXVTLERBCBQ3Y1,20YPGUBYCOOBCOY4Z2,0.896
31UJAPNQSPYISIH2G1,15BOSAKVCLEDPXJ8U5,0.926
95VHBFSAVOCJOBP4G4,76TDZFXZXATTMQL1Z4,0.933
45FRBQGPZQRBTEM2J6,95DQANSLGMPLWBN9E3,0.968
92EDJEPZTKAUWCB3X7,20NKUUJKBDGNTZP8Y7,0.924
92EDJEPZTKAUWCB3X7,49JJXTSPDBFDJNZ9R7,0.924
75VMERVRMJFAITL1Y7,00JTHAWWGEJYGRR9K9,0.903
75VMERVRMJFAITL1Y7,93ZQGECNIYNPEXX6I5,0.903
75VMERVRMJFAITL1Y7,14PYSJKETUUAMYL2N1,0.903
73OXNHPXVJQEZJW8Q3,55XRZXQWVDUWNCQ4D2,0.919
73OXNHPXVJQEZJW8Q3,77FMVXJMIIWLXSX3A2,0.919
56WDINJOQCQJEHT6N7,79YETMRVXOMMJBQ3X7,0.92
51IAKBGBEJAIGLP0N5,36KDOPXARETIDWY8H3,0.886
51IAKBGBEJAIGLP0N5,24JSDADCWNYRBYB9D4,0.886
08WEYSDULGUHYCY2B5,04DDJFSZQWNSVQM3F9,0.928
08WEYSDULGUHYCY2B5,99XUZBXCUOQIHKW4H0,0.928
89YGJFLHDHXZMNQ2S7,85PTKKGPKSDMKLA8A5,0.901
89YGJFLHDHXZMNQ2S7,14WKQYGFOXBXGZK9L1,0.901
89YGJFLHDHXZMNQ2S7,97TWLIGPUFKMPRW8U6,0.901
66VUJUQCABLWVRZ0Q5,64UQVGNZXIIFHFS5G1,0.956
79NHNQDODWMMEYO6P9,61ZFTSHKQLQRFWI8V8,0.9
22FTFOVXDQXNPLU6M3,21TWLHANEPPUGIR0X5,0.912
00WHYFMJXYKBYMA0O7,73KCQWERJXAIAOO3Y0,0.887
00WHYFMJXYKBYMA0O7,53ROOYEPEGCLHHI8J4,0.887
00WHYFMJXYKBYMA0O7,69GCBNEYLVNULQF3D6,0.887
60USJGDKQEFKEYT7E4,18ELCRAQFWNLISP3U0,0.888
60USJGDKQEFKEYT7E4,15VMGJKNKDHFFTP5Z5,0.888
60USJGDKQEFKEYT7E4,45PZTXMGPSDZALV6V0,0.888
57KYVMFNLORAXPA0W0,17YXUJAOSBICQZH4A1,0.93
57KYVMFNLORAXPA0W0,84JFEGNGCTJHHHS0W7,0.93
57KYVMFNLORAXPA0W0,00SJOMCZLINQEXZ2S3,0.93
43MQFVABYJUOAAC0I2,15SDLYOPLVNCIND4K8,0.963
43MQFVABYJUOAAC0I2,54BDWYQOFLFAKHH6K6,0.963
43MQFVABYJUOAAC0I2,03CTOMMEQDJXVSU1P4,0.963
89HLHRXTUVFUTRZ9J1,68DDGSLHITFWPXV3F9,0.921
89HLHRXTUVFUTRZ9J1,04XOOSHJYNRYRMG0O6,0.921
89HLHRXTUVFUTRZ9J1,12NBIKEDPBSAPNM0Y2,0.921
14PZPWPBTMVKIZF0S5,56WRWGZCRYLVGXO1L6,0.954
14PZPWPBTMVKIZF0S5,93ODTJFNUUPSCDA8C6,0.954
68BHZTQLXTUXQEV2O2,05CUVKYUFQDMIUA7A6,0.932
68BHZTQLXTUXQEV2O2,13ZKVWOABHIYLIY7J8,0.932
17PYNNNXXCEKWUK1C3,00PUZWTMXKSVTIZ5V4,0.924
17PYNNNXXCEKWUK1C3,98KCVBWKAQLXDLE7P5,0.924
96HDJFVSCKNGYMR3C0,62TGLFESTWVCDYF9W9,0.977
87NKIPYRZJIUYYI5I5,71CQSHWETMXKBEG1M5,0.879
83ZNKWAIGMWXRXO3A3,60NSADBCNIEPLHT9N6,0.923
83ZNKWAIGMWXRXO3A3,05CUVKYUFQDMIUA7A6,0.923
83ZNKWAIGMWXRXO3A3,95BIMUVRJNMPCXL8L9,0.923
00MEEHQLFKXVASL4Q8,94TRABUYCEIBKED3E6,0.909
00MEEHQLFKXVASL4Q8,19XLWOKZFYHGJLU9J6,0.909
00MEEHQLFKXVASL4Q8,20YESUBYYMAWESQ6V1,0.909
01CFRAARSNGNFTS3F0,77PSYRMLXHNDWIF1I8,0.903
01CFRAARSNGNFTS3F0,07UGRYOWNNJWTLH6C7,0.903
01CFRAARSNGNFTS3F0,35ROXWTPUBFFENP0J2,0.903
35MEOJFGRRNFXWZ3Z2,58XEDONOZPMHJAC3M6,0.861
35MEOJFGRRNFXWZ3Z2,31UWIZTHSTRIJEH2F1,0.861
35MEOJFGRRNFXWZ3Z2,61ZFTSHKQLQRFWI8V8,0.861
20BWTUCTIVQSSXB0P3,37QKGUMLPHTTJOP6L6,0.902
20BWTUCTIVQSSXB0P3,24TPLSPITBFONJD4A0,0.902
20BWTUCTIVQSSXB0P3,46FNHPTJHKLFWHC0P5,0.902
69CZQBRUDXKUJBG6W3,06VHDBLKLEVSANH4Q7,0.878
69CZQBRUDXKUJBG6W3,21YPVBYEZKSWFHH4Y7,0.878
69CZQBRUDXKUJBG6W3,19FQIFWGHJQIQCD9K4,0.878
11JFPRAJUQNQEHD5G8,68DOYKJOYYCDBGN6C0,0.938
24TPLSPITBFONJD4A0,35OHQYQYVFZEIXA2X3,0.929
24TPLSPITBFONJD4A0,42WSMGQJLIVPYCF2H5,0.929
78ZCOMSJUHLICWL3G9,38FSKCCYQXMJRDL3U2,0.892
78ZCOMSJUHLICWL3G9,35HEJXXZKMXCFTS0A0,0.892
34YVFWUQZBDQTQY5P2,15GPOCUVWXXJPCC0T0,0.977
34YVFWUQZBDQTQY5P2,96NZWUGICDXBOAP0Y8,0.977
34YVFWUQZBDQTQY5P2,98ZJYOQBCATKXQL0B9,0.977
37QKGUMLPHTTJOP6L6,53QDGJTPICZMMNF3K1,0.957
93DAOACBPLSMNQS5W3,14PWREVOYTCQPIP2M4,0.905
93DAOACBPLSMNQS5W3,47KJMAQENBGYLIG7J2,0.905
69ZKQNIJXVGXUNM5A7,71GNSXNESPTBHKO4X0,0.987
69ZKQNIJXVGXUNM5A7,28GALEIKXTAEOMM5F8,0.987
69ZKQNIJXVGXUNM5A7,14FTIXDVBBCUYQU2I3,0.987
33OGPIIYHKPIASG7V4,25WLVILBUDLHNRZ4M3,0.932
33OGPIIYHKPIASG7V4,91FEUJARDYNTRZW4Y2,0.932
50HVDYNTFWMOGYK4D3,49JJXTSPDBFDJNZ9R7,0.892
38FSKCCYQXMJRDL3U2,69AEOXJIJRNDCIC1I3,0.929
76LWOEXNPUNJRGW4W1,72ZVRGDIJBSVXNU1Y4,0.904
36FFPUKYOMHLHOJ1S6,45QBDASOBDPIDZV6L8,0.936
45SOVKMZJIKOFBT8A5,21YPVBYEZKSWFHH4Y7,0.946
45SOVKMZJIKOFBT8A5,20HWWCCZNAIBIRP5W8,0.946
45SOVKMZJIKOFBT8A5,30EAKYHDHCKYCWR8D5,0.946
