gstin,taxpayer_name,sector,state,taxable_value,itc_claimed,tax_paid,itc_ratio,invoice_count,mismatch_ratio,num_buyers,filing_status,is_fraud
49JJXTSPDBFDJNZ9R7,Sant-Din,Trading,DL,1702636.83,3115328.28,25983.48,119.8919,253,0.4628,72,Missing,1
02HXPNQBCWNXXHV4Q8,"Dhar, Shanker and Saraf",Retail,KA,63669.63,9188.3,3854.42,2.3832,45,0.0605,1,Late,0
69JFBUHNGZIAIMO1W8,Choudhary-Shetty,Services,TN,281826.03,29000.37,49335.83,0.5878,44,0.083,14,Missing,0
79ORLCYXTFKQWAB5G9,Chhabra PLC,Retail,UP,614730.27,45103.93,74399.52,0.6062,7,0.0667,11,Regular,0
16SNPSETUREBWFN4Y5,Purohit-Mannan,Manufacturing,UP,1035595.87,1660465.94,30386.45,54.6432,194,0.7101,85,Missing,1
59HPQJLABKFGPAF5R1,"Morar, Chaudhuri and Karnik",Trading,UP,519425.41,39486.74,47551.64,0.8304,2,0.1169,18,Late,0
77KSUOLFTKLTXXN4P3,Palla-Desai,Retail,UP,832933.35,124673.37,79614.73,1.5659,29,0.0519,15,Late,0
02WHPACFPYJFXXZ7E0,Nagar PLC,Manufacturing,DL,348722.21,48096.18,51049.35,0.9421,10,0.0414,13,Regular,0
17ZUXDSLLBQVEKN1L1,"Walia, Natarajan and D’Alia",Retail,RJ,849011.99,82913.16,106644.21,0.7775,2,0.1025,12,Late,0
12XAHNXIFZCEFPT1I0,Deo-Wali,Retail,KA,700345.16,114518.04,63254.04,1.8104,1,0.1386,7,Missing,0
83GYETHKDEYYVCC5W7,Sama LLC,Trading,TN,963351.96,86991.8,50082.74,1.7369,36,0.1197,6,Missing,0
71XOQEFHPWLJOYP5T4,Grover-Bawa,Manufacturing,UP,529907.37,43143.03,40736.94,1.059,42,0.0062,7,Missing,0
32DYSKHAVADPZPD5H8,"Deol, Pal and Sharaf",Manufacturing,WB,619794.42,110678.52,41840.5,2.6452,35,0.1043,19,Missing,0
23XSAAKSGRCMCBX7P7,Butala-Saxena,Trading,WB,846041.88,113271.96,137897.51,0.8214,40,0.0708,10,Missing,0
18XTGXDBZIXTUEY9C3,Natarajan-Bhardwaj,Trading,TG,892430.17,96773.12,108407.67,0.8927,45,0.132,11,Missing,0
80WADFXLVNVUZDK4C5,Lad-Cherian,Retail,UP,137762.85,8788.55,17369.49,0.5059,41,0.0909,1,Missing,0
93SVSIHBMEZYIGK1B6,Jani-Yadav,Construction,RJ,213201.8,36472.09,28803.72,1.2662,26,0.036,2,Late,0
23HNBVPCRGFSLNK9P0,Singhal-Manda,Construction,UP,130226.25,16699.81,7222.15,2.312,40,0.0803,11,Late,0
96HXTUJHKQCDBCX6D6,Sangha-Bava,Services,WB,459311.28,75856.04,46145.83,1.6438,45,0.0742,3,Regular,0
32TGQBHLHBSRMFG5G0,"Chakrabarti, Dua and Koshy",Manufacturing,DL,648689.56,91055.81,68605.12,1.3272,23,0.0719,6,Regular,0
67DLYGPZODWYUDV9S5,Sawhney-Tailor,Services,TG,127988.08,12743.42,18597.75,0.6852,49,0.0438,13,Regular,0
47WDWFYICKRVMYT1L5,"Kala, Buch and Borra",Construction,MP,101860.06,9092.44,7899.53,1.1509,18,0.0552,4,Regular,0
04PIAIYPTLFYDCW0G3,Dara-Kibe,Trading,GJ,855876.21,89572.38,117096.8,0.7649,30,0.1402,4,Regular,0
06STWFOYMEDQDVF0O0,Sheth-Bains,Services,TG,76770.6,10793.88,6862.69,1.5726,2,0.1211,6,Late,0
15WJRCLMSLHUMSC0Z0,Goyal-Pradhan,Construction,UP,350927.68,47850.28,58572.02,0.8169,33,0.102,18,Missing,0
42LYWGIONEQVMAX6E9,"Sachdev, Bhatia and Uppal",Trading,TN,460848.78,60790.34,65971.14,0.9215,21,0.0616,5,Missing,0
59QYOLKTHVDINYW6X7,Chauhan-Varghese,Manufacturing,MP,558588.11,72165.77,62064.85,1.1627,16,0.0215,17,Regular,0
69XCILRWTUTMUXP4G2,Mand-Kaul,Manufacturing,MP,591484.62,64343.91,89131.73,0.7219,21,0.0711,5,Regular,0
86LRQDPEPBMPXCR9N0,Sami Inc,Trading,KA,347938.77,52812.87,29777.97,1.7735,41,0.117,14,Missing,0
20QOLMSKHLSWGXR6Q6,"Thakkar, Narayan and Kumar",Services,WB,971545.31,53851.79,70597.8,0.7628,6,0.1048,6,Regular,0
62EXVMPLARZTEHK8I5,"Gopal, Goswami and Hegde",Trading,TG,761592.16,66798.93,99406.4,0.672,40,0.1181,15,Late,0
01EEOFQWPTDMGRF6H6,Sharma and Sons,Construction,DL,269717.95,29576.97,22811.76,1.2965,28,0.0339,9,Late,0
77OIMVGBCTXJBBT5R6,Vig Group,Construction,UP,463201.56,24141.96,33641.56,0.7176,12,0.1286,19,Missing,0
03PRMTYWAAEJJCW3Y1,"Jaggi, Mallick and Kalla",Services,RJ,844606.58,86020.48,99559.22,0.864,8,0.071,10,Late,0
83ASAKMRVTQTXJU1F7,"Walia, Swamy and Malhotra",Manufacturing,KA,977935.68,62617.41,167376.37,0.3741,37,0.0062,12,Late,0
89YOIQAPNVBBDUC7H8,"Kala, Dhillon and Bava",Trading,DL,674407.11,36136.2,115929.08,0.3117,49,0.0631,17,Late,0
54LRLZOGWSHMNMT2N2,Ahuja and Sons,Trading,GJ,4845375.39,10128448.09,73788.73,137.2609,179,0.8826,89,Late,1
47HITXRNZLHLROZ7J5,Murthy-Vora,Retail,UP,52962.73,3105.42,6447.56,0.4816,17,0.0543,18,Late,0
22TMWGCLBTBDICC5J6,Venkataraman and Sons,Trading,MH,3851712.84,8354108.31,41602.08,200.8051,167,0.7369,77,Late,1
34FZIQFWAPGQTZQ1N2,Koshy and Sons,Manufacturing,WB,2153904.9,3451112.36,23762.9,145.225,74,0.5163,64,Missing,1
11GMQWBDLAVLDLB7N0,Kothari Inc,Construction,GJ,652415.45,97038.28,105530.3,0.9195,40,0.1088,8,Late,0
62ZNOFZJROJOANF1I0,Pau-Vasa,Services,TN,340218.14,37013.94,19102.42,1.9376,40,0.1385,13,Missing,0
82HXKMLFJRHPDPD1U6,Randhawa-Wable,Manufacturing,KA,312495.6,17465.21,39432.68,0.4429,20,0.144,9,Late,0
21AXIUJGPCBYITR9I9,Bhatnagar LLC,Manufacturing,TN,839369.95,115832.59,149694.95,0.7738,49,0.0695,10,Late,0
06NULDYVHIAMSAI7L0,Johal Inc,Services,MH,874738.44,69567.48,44650.27,1.558,31,0.0731,4,Late,0
42IFAYTFBBKUHTB9Q8,Kurian Group,Manufacturing,TN,338931.78,18340.13,36027.46,0.509,47,0.0562,18,Missing,0
72VSKIAKWLGZFJR4K1,Sane LLC,Manufacturing,RJ,120510.54,13219.1,16347.9,0.8086,43,0.0066,3,Regular,0
46YVBDPVAOIKPKV3P1,Bassi and Sons,Services,TG,116658.65,18818.37,8534.51,2.2047,48,0.1442,18,Late,0
97NNSPGOTBRQRRL1Y0,Lad PLC,Retail,WB,2266002.98,6174629.62,62463.27,98.8506,63,0.8498,57,Late,1
19EFRWSCXPEZUGN1N2,Sama Group,Retail,MH,988486.86,109214.04,56908.1,1.9191,38,0.088,5,Missing,0
28FGPGZQVQDKRRK0C0,"Halder, Malhotra and Raja",Manufacturing,TN,3648604.59,7721489.49,118299.41,65.2702,229,0.4054,94,Missing,1
13IFRGSXWCOFEOK3E9,"Palla, Dalal and Bora",Retail,WB,782745.62,48324.31,125376.97,0.3854,12,0.1382,17,Regular,0
00BJIOUFGDQKNFX6N1,Tak-Butala,Trading,MH,23102.91,2126.64,1184.3,1.7942,41,0.0431,1,Regular,0
87IBQYJMFRMDGNB3Q1,"Thakur, Dhillon and Lala",Trading,GJ,440066.12,55952.8,60405.73,0.9263,29,0.1385,1,Regular,0
85MBYDWHNEENJAZ0M8,Solanki-Talwar,Retail,RJ,831396.91,147292.95,143334.59,1.0276,21,0.071,12,Missing,0
47YBAGZGXFVWHRS6Q6,Gill-Sama,Manufacturing,RJ,912943.32,108377.04,88741.59,1.2213,7,0.013,18,Missing,0
47QWFTDMWMSYUKD8E4,Talwar-Bava,Retail,UP,889697.29,83351.76,63503.81,1.3125,7,0.059,1,Late,0
31TIGFYGKGDOTWS5R5,Ratta-Purohit,Retail,MH,165606.25,28883.31,21292.48,1.3564,34,0.0114,8,Missing,0
09NQTRYIMYBOFWE1R7,"Agate, Vig and Khatri",Trading,DL,254380.42,22945.7,42010.21,0.5462,45,0.1119,18,Missing,0
58PDCDNBAGDOYQN8N5,"Sami, Kibe and Batta",Manufacturing,WB,19748.36,1598.65,3093.3,0.5166,20,0.0856,2,Late,0
76QFDPUVRTROGSE4A7,"Sachdeva, Bali and Saini",Retail,KA,782424.65,116005.13,121880.39,0.9518,5,0.1044,18,Missing,0
12HTQOLAKKQUTFL1L9,Narayan-Golla,Trading,MH,521070.77,85200.65,39976.55,2.1312,12,0.0368,11,Missing,0
42JDJKGNTUCRDIX9Y4,"Banik, Patil and Barad",Construction,KA,901917.15,74742.4,135375.61,0.5521,25,0.0967,11,Missing,0
59QNRCBTCIEPQWS9A1,Yohannan-Ghose,Trading,UP,421604.07,26002.22,31847.71,0.8164,29,0.1474,2,Regular,0
59NWXWBDPBIKGPY2E5,Mittal-Rao,Retail,TN,213250.59,25281.51,32278.95,0.7832,18,0.1437,17,Missing,0
89IIWBIQSKIYZDE5R4,Rau Ltd,Trading,RJ,837777.09,46495.56,65140.35,0.7138,41,0.031,4,Regular,0
39CHVJWCRMSDVBT4U3,Contractor-Chada,Services,GJ,410265.13,61430.61,69147.78,0.8884,29,0.0789,6,Late,0
87HUQPJMFYNSGFK3X1,Soman Group,Construction,UP,842031.75,69672.1,84746.03,0.8221,32,0.0245,14,Late,0
13MMBYCJDJVIXZX5I1,Subramanian PLC,Trading,RJ,2184218.58,4490673.07,92855.46,48.3614,120,0.893,23,Late,1
65YCEIZBEZFDISN4R6,"Hayre, Dalal and Khurana",Services,TN,2265201.69,4918495.36,88796.06,55.3903,286,0.6552,74,Missing,1
75AIMBIKGPGFWMN4O8,"Sinha, Seshadri and Kari",Retail,RJ,452628.01,77613.05,46644.21,1.6639,33,0.102,12,Late,0
66CIQIXTWPEIZTK4C0,"Seshadri, Nadig and Roy",Manufacturing,KA,224400.01,27219.85,27491.83,0.9901,10,0.0774,13,Missing,0
12ZOHXHHJUQFLOG3X8,"Majumdar, Banik and Minhas",Trading,MH,358144.3,51593.01,54099.67,0.9536,46,0.1175,12,Late,0
34CRBDCUIDMAOKI3A9,Jayaraman-Dalal,Construction,RJ,925675.47,75068.58,83683.49,0.897,23,0.135,17,Regular,0
67YVKBCMMLSWDJK7O2,Sharma LLC,Retail,GJ,4402024.73,10313063.71,86032.62,119.8725,232,0.7754,49,Late,1
07FGPSKACMNAIWC3T3,Morar and Sons,Retail,DL,954450.9,167975.47,152858.44,1.0989,32,0.1166,14,Missing,0
09JABXPMJWRJUPR0K4,Kamdar-Sankar,Retail,MP,1244842.3,2215173.61,54150.18,40.9072,50,0.8349,74,Missing,1
96NFXEDGNGIJLBY3P8,"Munshi, Srivastava and Prabhakar",Manufacturing,DL,2098777.88,5296827.61,76582.91,69.1637,279,0.5535,45,Late,1
10XNPRCRZFQBJBM0L7,Bakshi-Kumar,Trading,DL,1758363.43,2997228.05,68788.04,43.5713,262,0.8026,27,Missing,1
14ZPGZSBKYCBNGU7X2,"Lalla, Kalla and Minhas",Trading,RJ,297576.79,28020.69,51086.25,0.5485,39,0.1316,18,Regular,0
09BSXXWWTWOSYQF3D4,Mukherjee-Lal,Trading,GJ,527839.37,48026.09,59616.46,0.8056,28,0.075,8,Missing,0
44XMTEQRUCNMXJS2D2,Gala Ltd,Services,MH,540159.75,79511.42,89919.64,0.8842,34,0.0679,14,Regular,0
78IPJQVEMEVYLZZ7R0,Tak and Sons,Services,MH,500707.74,25869.76,86914.82,0.2976,26,0.1366,4,Missing,0
81KHCPZGXHCRJYW2V1,"Badal, Bala and Nagy",Construction,MP,852418.17,68674.65,75100.01,0.9144,40,0.052,16,Missing,0
16OLDYPWHBWZRKW8R5,Balan-Suresh,Retail,GJ,781238.6,114520.75,75131.68,1.5242,35,0.0271,8,Missing,0
90SPVRIHOZBNTJM2F5,"Suri, Parekh and Mander",Services,MP,855800.21,94513.27,64001.42,1.4767,37,0.0611,12,Missing,0
66UPNKEHUDYBNLF9Y1,Garg and Sons,Trading,WB,2738592.02,7066399.6,39060.95,180.9024,135,0.4684,76,Missing,1
84ZFMTNVGWHAAAM6I8,Bhatt PLC,Construction,DL,429168.19,32362.81,40763.46,0.7939,37,0.0989,12,Regular,0
62BCHXCIDAYWMOM2S6,"Oza, Vaidya and Tank",Construction,TN,707884.17,1677257.29,32919.59,50.9486,69,0.8098,76,Late,1
03HNXWOPQPFMXIS8E4,Saxena Inc,Retail,WB,772023.09,52408.44,66822.93,0.7843,40,0.1387,1,Late,0
75PNEMTBEDBVCWM5A2,Saini Ltd,Trading,MH,697872.52,74952.31,120625.89,0.6214,15,0.0964,3,Late,0
73MIFALYRMAWDTM9O6,"Kapadia, Babu and Sundaram",Trading,RJ,303703.84,30209.97,29681.68,1.0178,4,0.0661,18,Missing,0
93FMVLJASFKPRFK5Z6,Chandra-Kanda,Retail,MH,170210.37,20353.95,28705.98,0.709,9,0.032,5,Late,0
18FHPPIQYBYRLLD5Q5,Shroff and Sons,Retail,UP,471888.3,27204.99,80277.39,0.3389,6,0.0672,12,Late,0
07PQFGPIAWNSPHG9F4,"Natarajan, Arya and Bajwa",Trading,DL,372497.45,65559.5,61343.0,1.0687,6,0.0917,17,Missing,0
86ZYHUAALTUJQPK2D3,Handa-Master,Services,GJ,45408.58,5388.61,6177.57,0.8721,3,0.0909,17,Regular,0
64PQFTRMRGVUXPA3Q4,Som Ltd,Manufacturing,TN,716513.85,120554.07,47124.0,2.5582,42,0.1002,18,Missing,0
24AXLNMVCXMYRPM3T6,Tank Group,Manufacturing,MH,360797.0,19763.41,52057.89,0.3796,35,0.0899,3,Late,0
79PODCXUUWSAHGH9V2,Bala-Sem,Trading,KA,281280.51,43181.26,20403.23,2.1163,36,0.0265,2,Regular,0
61XZFZIYMBPZXLS9H7,Rattan-Bassi,Services,RJ,70990.85,5956.35,10423.71,0.5714,39,0.0268,1,Late,0
30QPZAWNPXTDFTF0W4,Din Ltd,Retail,KA,580853.53,91210.38,67860.67,1.3441,43,0.0754,18,Late,0
32FZCFMHEVJRNJM2I7,"Sood, Sani and Som",Retail,GJ,697048.4,35134.32,84580.15,0.4154,41,0.1302,17,Regular,0
59KXBYUVDFLJEIP2Z4,Mutti-Muni,Services,GJ,915438.59,56605.89,122913.37,0.4605,21,0.0251,10,Missing,0
74HSGKSXUSKCTGS0F5,Chaudhuri-Bansal,Construction,RJ,29787.88,5332.15,3395.37,1.57,35,0.1102,1,Missing,0
22PURENUQPGOFCI1H9,De PLC,Manufacturing,WB,838655.7,131354.2,135156.28,0.9719,1,0.103,14,Late,0
91OBGXUMUZAUDPJ9J3,Cherian-Mangat,Trading,MP,715555.02,80345.43,74634.66,1.0765,39,0.0452,10,Regular,0
11NUZSHAAHQXORH9I5,"Butala, Master and Golla",Retail,KA,549405.02,97018.72,77118.35,1.258,19,0.1458,10,Regular,0
33XIPWASZSMAXZS1C5,"Palan, Thaman and Chaudhry",Retail,UP,628694.33,91005.5,107600.19,0.8458,29,0.0519,19,Missing,0
03ZZYFWLCNDTNCK0U0,"Subramanian, Kalla and Butala",Trading,RJ,689217.73,77272.51,41761.59,1.8503,42,0.1362,15,Late,0
72KADDQGPFMAHRL9F4,"Borah, Murty and Sehgal",Services,WB,590902.69,94109.31,43646.58,2.1561,7,0.0329,8,Missing,0
19BLTBPTKRGSABT7W7,"Loyal, Upadhyay and Hegde",Construction,WB,2361494.86,6199493.71,89113.45,69.5678,91,0.6215,46,Late,1
95VJDRAFXKDEWAR0V0,Jayaraman PLC,Retail,TG,319428.87,50681.07,17656.4,2.8702,15,0.0307,2,Regular,0
74SVOAKBARZNZTY6Z9,Batra Inc,Services,RJ,273090.87,20871.83,23375.26,0.8929,36,0.0219,6,Missing,0
79PVKDJVWYDYJTJ9L3,"Basu, Buch and Basak",Services,WB,187566.09,15147.69,19001.3,0.7972,12,0.1419,1,Late,0
89VVOUOAVKERNGV8U8,"Magar, Dash and Chauhan",Manufacturing,WB,847813.69,116257.48,123153.37,0.944,3,0.0674,15,Missing,0
07BUSRLVMRTLOXY0V5,Kuruvilla-Mangat,Trading,KA,674186.71,100907.65,107728.95,0.9367,30,0.131,5,Late,0
10YYCVIRSGZQNYE6E9,"Samra, Ratta and Raman",Services,KA,460922.6,52907.58,51710.82,1.0231,34,0.0534,2,Regular,0
58QFPCQMZVYYADN9T8,Vaidya LLC,Trading,KA,492689.71,49048.62,70678.38,0.694,34,0.0876,16,Late,0
42XDZSCRYZWFJVV4W7,More Inc,Trading,DL,788356.05,133403.01,109449.29,1.2188,33,0.1052,13,Regular,0
60CUXMMFUYPRIAT0H1,"Khare, Dixit and More",Services,DL,2587955.59,4906780.69,68864.56,71.2516,145,0.5217,24,Missing,1
97FYHYIPMKJWKPS9Z9,Deol-Ranganathan,Trading,RJ,149173.96,21840.17,9463.16,2.3077,1,0.0911,8,Missing,0
83SBLHZCZQWKPRT0S9,Sarkar Ltd,Construction,KA,880879.2,46512.76,102370.61,0.4544,17,0.0938,6,Regular,0
05CXXAMZBBMNDWE1Z8,"Saha, Walla and Borde",Trading,KA,3076732.55,5893539.0,144152.0,40.8839,75,0.7703,59,Late,1
82PAKCTBEYDRTAZ4W2,"Dixit, Chatterjee and Gera",Manufacturing,UP,69248.72,6798.71,5217.57,1.3028,40,0.0872,7,Late,0
28WXYMTVTJNKJRA9A8,Sundaram-Balay,Retail,DL,850017.33,70889.79,70186.27,1.01,37,0.1295,12,Regular,0
68CDCHJIIFHBEHB7S6,Chaudhuri Inc,Services,WB,2524030.92,4522896.24,62369.75,72.5163,141,0.6408,90,Missing,1
58IQWGNSNHHODWL3K2,"Parekh, Koshy and Agrawal",Construction,MH,643445.07,101557.54,115658.78,0.8781,28,0.085,10,Late,0
16SHSTIGAJCDHMN1E7,"Palan, Devi and Panchal",Trading,MP,388150.95,65397.93,33401.16,1.9579,48,0.0103,2,Missing,0
27BOQAFUOWJSKYU6L6,"Subramanian, Kar and Chopra",Trading,TN,59755.79,6048.69,9512.17,0.6358,28,0.0159,18,Late,0
12JABSWUDAOQFIW0H7,Pant-Desai,Construction,GJ,766049.15,66751.74,130047.78,0.5133,25,0.1016,18,Missing,0
49KTWAEQOXWIRCB1I4,"More, Muni and Gill",Retail,GJ,932228.96,57398.52,108603.12,0.5285,8,0.1403,5,Missing,0
12IHGPFEWGTLCDW8I6,"Bal, Balasubramanian and Parikh",Trading,MH,727329.31,90133.89,68594.02,1.314,23,0.1025,1,Missing,0
78XAMKKQMBCZZKU3A9,Bhatti and Sons,Services,RJ,221606.06,19250.65,12662.43,1.5202,16,0.1122,7,Regular,0
36QDLTFNKLZNHBK0Y0,Sem-Oak,Trading,TN,57722.41,6761.27,4574.33,1.4778,11,0.1352,14,Late,0
48OKAHWMZRTZWJD5L0,Nadkarni and Sons,Manufacturing,TG,237773.77,37747.12,40327.78,0.936,41,0.1305,8,Late,0
35JZQFGNHWILDNH5J2,Bail Ltd,Construction,GJ,622129.95,36770.1,84815.12,0.4335,20,0.1241,16,Regular,0
29CLHXPLQSLMPLE1B6,Pradhan-Basak,Construction,TN,4296817.97,8082152.66,48316.1,167.2731,174,0.7381,85,Late,1
45WNLXHDXFQLIRF2H4,Mukhopadhyay Group,Trading,DL,328961.08,40884.03,38588.79,1.0595,47,0.0988,5,Regular,0
22FTEAVHVNKMKNO9J4,Narayanan and Sons,Manufacturing,MP,469544.97,74043.58,34972.98,2.1171,11,0.0942,6,Missing,0
88SGGFLQSBEHDYV8E7,"Loyal, Chadha and Sehgal",Trading,MH,849444.92,125494.81,92130.51,1.3621,26,0.0333,11,Missing,0
18WCGEOUZTRGURT9D7,Nagi LLC,Manufacturing,RJ,828597.38,63379.97,64935.72,0.976,16,0.1328,13,Regular,0
26WJXAKLPLHDBLR3R4,"Vaidya, Kamdar and Mallick",Services,RJ,655357.97,107009.11,65543.76,1.6326,48,0.0943,13,Missing,0
62BCRUTEEYEXUPG8U4,Hora Group,Manufacturing,MH,557542.15,95233.29,77818.7,1.2238,8,0.1424,1,Regular,0
66PYIPGIGHEPESF3Z8,Hegde PLC,Construction,MH,527459.53,63693.56,50891.04,1.2515,28,0.012,19,Regular,0
85ETHKDNFJAGLGY7R5,Varughese and Sons,Services,MP,791544.01,58032.79,98562.26,0.5888,29,0.07,8,Missing,0
09VFSHZBYSFGOGG9Y2,D’Alia-Kaul,Construction,KA,241842.45,15158.29,32027.61,0.4733,18,0.0111,18,Regular,0
75PZEUDYJMMGTNW0T3,"Rout, Dhingra and Baral",Manufacturing,GJ,413865.66,66287.98,26174.16,2.5325,33,0.129,8,Regular,0
88PHHWUETWZVFQV1K1,Arya-Bansal,Manufacturing,KA,620681.35,64232.27,105415.58,0.6093,16,0.0594,18,Missing,0
54PIBEBJXCNRUJJ0V3,Kunda Group,Construction,MP,847909.87,73774.61,140236.1,0.5261,29,0.0895,11,Late,0
79IPUQEQQPUTURB6M4,"Palan, Lal and Tank",Construction,TN,124106.64,11044.58,22264.15,0.496,30,0.0742,10,Missing,0
43UOCTMNVBOZEUG9K2,Chakrabarti-Mishra,Manufacturing,MP,836959.44,113858.89,139656.99,0.8153,29,0.0859,19,Late,0
74NPYWVFNEUJHIN8D2,"Mani, Wali and Golla",Trading,KA,18311.54,2663.84,3295.44,0.8081,49,0.1026,14,Regular,0
05RFJOLIGKVXIIB8U9,Mital-Khanna,Trading,TG,928863.77,109449.89,69639.42,1.5716,2,0.0576,1,Regular,0
72HEZLJDDMBAJRQ2J0,Memon-Lala,Construction,KA,188443.67,25156.64,14458.82,1.7398,18,0.0131,13,Late,0
23OMBWIGZRDPQRL3F8,"Talwar, Merchant and Master",Construction,KA,530989.88,61396.25,55836.81,1.0995,31,0.057,17,Regular,0
75RHQAABEEFEOBY4R0,Dash Inc,Retail,KA,839293.24,95822.71,79064.83,1.2119,23,0.0967,7,Late,0
34IWMWQFHBNCEGL5Q7,Kunda LLC,Manufacturing,TG,906781.89,154786.29,67120.74,2.3061,16,0.054,3,Regular,0
92VTQXFWUUWJKJV9V3,Dora and Sons,Services,DL,393529.75,23618.28,26498.37,0.8913,18,0.114,18,Regular,0
40LXHLGCNTZFRQJ8M1,Nagy Group,Manufacturing,UP,952751.18,117319.7,102446.22,1.1452,27,0.0341,19,Late,0
61BIWIJRICNVQHR8P6,"Sethi, Raj and Menon",Retail,DL,86080.97,8701.3,11800.88,0.7373,8,0.0576,16,Late,0
53AEOSAKEOIGUXL8A2,"Chadha, Goda and Datta",Manufacturing,RJ,776967.83,79686.16,88788.92,0.8975,22,0.0548,1,Missing,0
69QRCTMYTNEYASQ9I4,Chauhan-Sastry,Trading,TG,353519.43,46516.0,20098.03,2.3143,39,0.017,4,Late,0
69EXAVTZAXOYSSO4G1,Contractor LLC,Retail,RJ,601062.9,98304.92,54120.5,1.8164,26,0.0919,4,Late,0
47RIPSDUMWHPZGU2B5,Ramaswamy-Dhar,Manufacturing,TN,51119.92,5307.64,7603.5,0.698,32,0.0146,14,Regular,0
14ZVROXSFWOLHHJ2N1,Reddy Ltd,Retail,TG,224070.57,13227.42,27818.4,0.4755,40,0.0379,15,Missing,0
59KPJDXMLFRYKKL1U3,Gupta-Patla,Trading,RJ,896472.32,47438.88,109993.87,0.4313,24,0.0221,14,Regular,0
44PBQKTVAZNGWCZ3A1,Randhawa and Sons,Construction,MP,804041.93,122667.55,119641.14,1.0253,11,0.0681,1,Missing,0
37KNLNNCKCYLBBD5Y1,Mangat-Ratta,Construction,KA,994752.17,144809.97,77649.14,1.8649,3,0.1109,13,Regular,0
60EYQVENGSDTYEG0U4,Dhingra-Mannan,Construction,KA,913977.7,139717.05,81990.08,1.7041,9,0.0389,11,Regular,0
79RLVNBXFRLNDOC0H0,Pal-Chahal,Manufacturing,TN,983783.22,89642.52,70370.04,1.2739,6,0.1354,2,Missing,0
19HAWICXVMPSZKO4J4,Dora-Dasgupta,Trading,DL,201123.6,23740.21,13068.95,1.8164,6,0.1024,14,Missing,0
69IGSADESKASUGB9Z1,"Ramakrishnan, Borah and Ahluwalia",Retail,TN,470123.28,36460.91,42901.21,0.8499,42,0.0009,9,Late,0
51DYNAHYJWHIRLY6U7,"Ramanathan, Kannan and Chakraborty",Retail,MH,721620.15,92708.11,122051.14,0.7596,36,0.0022,1,Late,0
08SUMQJXLNUJCNB5Q6,Saxena Group,Manufacturing,MP,239611.12,33006.54,20279.34,1.6275,6,0.0607,7,Missing,0
91IDBQQOSCVMHVP7B5,Sawhney and Sons,Retail,UP,956381.18,78135.54,148336.65,0.5267,36,0.142,8,Regular,0
01HAAKKFERLXWDI9T5,Jain-Lal,Services,UP,36680.41,4805.94,4494.81,1.069,45,0.0488,18,Late,0
